,Poet,birthday
1487,Bei%20Dao,/poets/bei-dao
1488,Rabindranath%20Tagore,/poets/rabindranath-tagore
1489,Li%20Po,/poets/li-po
1490,William%20Dunbar,/poets/william-dunbar
1491,Ramón%20López%20Velarde,/poets/ramon-lopez-velarde
1492,Daniel%20Halpern,/poets/daniel-halpern
1493,William%20Cowper,/poets/william-cowper
1494,Natalie%20Shapero,/poets/natalie-shapero
1495,William%20Wordsworth,/poets/william-wordsworth
1496,Marjorie%20Pickthall,/poets/marjorie-pickthall
1497,Josh%20Wild,/poets/josh-wild
1498,Patricia%20Frolander,/poets/patricia-frolander
1499,Daniel%20Defoe,/poets/daniel-defoe
1500,Shin%20Yu%20Pai,/poets/shin-yu-pai
1501,Melanie%20Braverman,/poets/melanie-braverman
1502,Carmen%20Tafolla,/poets/carmen-tafolla
1503,Dale%20Going,/poets/dale-going
1504,Elise%20Partridge,/poets/elise-partridge
1505,David%20Bottoms,/poets/david-bottoms
1506,Andrew%20Hudgins,/poets/andrew-hudgins
1507,Gabrielle%20Calvocoressi,/poets/gabrielle-calvocoressi
1508,Sandra%20Simpson,/poets/sandra-simpson
1509,Michael%20McFee,/poets/michael-mcfee
1510,Deborah%20Digges,/poets/deborah-digges
1511,Daniel%20Nyikos,/poets/daniel-nyikos
1512,Bob%20Kaufman,/poets/bob-kaufman
1513,Jen%20Bryant,/poets/jen-bryant
1514,Pimone%20Triplett,/poets/pimone-triplett
1515,Wendell%20Berry,/poets/wendell-berry
1516,David%20Tucker,/poets/david-tucker
1517,Anna%20Marie%20Sewell,/poets/anna-marie-sewell
1518,Gregory%20Maguire,/poets/gregory-maguire
1519,Alice%20Moore%20Dunbar-Nelson,/poets/alice-moore-dunbar-nelson
1520,Robert%20Bly,/poets/robert-bly
1521,Elsa%20von%20Freytag-Loringhoven,/poets/elsa-von-freytag-loringhoven
1522,Blas%20Falconer,/poets/blas-falconer
1523,Richard%20Newman,/poets/richard-newman
1524,Yanyi,/poets/yanyi
1525,Sarah%20C.%20Woolsey,/poets/sarah-c-woolsey
1526,Jill%20Osier,/poets/jill-osier
1527,Kate%20Gale,/poets/kate-gale
1528,Kathleen%20Flenniken,/poets/kathleen-flenniken
1529,Kurt%20Brown,/poets/kurt-brown
1530,Oliver%20de%20la%20Paz,/poets/oliver-de-la-paz
1531,Allen%20Ginsberg,/poets/allen-ginsberg
1532,Pat%20Schneider,/poets/pat-schneider
1533,Abraham%20Lincoln,/poets/abraham-lincoln
1534,K.%20S.%20Ernst,/poets/k-s-ernst
1535,Marion%20McCready,/poets/marion-mccready
1536,Gabrielle%20Bates,/poets/gabrielle-bates
1537,Zilka%20Joseph,/poets/zilka-joseph
1538,Mary%20Jo%20Salter,/poets/mary-jo-salter
1539,David%20Musgrave,/poets/david-musgrave
1540,Jeanne%20Murray%20Walker,/poets/jeanne-murray-walker
1541,Michael%20Miller,/poets/michael-miller
1542,Nicholas%20Friedman,/poets/nicholas-friedman
1543,Helen%20Mort,/poets/helen-mort
1544,Richard%20O.%20Moore,/poets/richard-o-moore
1545,Jennifer%20Chang,/poets/jennifer-chang
1546,Elise%20Hempel,/poets/elise-hempel
1547,Dani%20Couture,/poets/dani-couture
1548,Adah%20Isaacs%20Menken,/poets/adah-isaacs-menken
1549,Gabriel%20&%20Marcel%20Piqueray,/poets/dante-gabriel-rossetti
1550,Mary%20Robinson,/poets/mary-robinson
1551,Carolyn%20M.%20Rodgers,/poets/carolyn-m-rodgers
1552,Chris%20Green,/poets/chris-green
1553,Alfred%20Corn,/poets/alfred-corn
1554,Ted%20Berrigan,/poets/ted-berrigan
1555,James%20Longenbach,/poets/james-longenbach
1556,Claudia%20Emerson,/poets/claudia-emerson
1557,Billy%20Ramsell,/poets/billy-ramsell
1558,Carlo%20Betocchi,/poets/carlo-betocchi
1559,Jennifer%20Grotz,/poets/jennifer-grotz
1560,Rodney%20Koeneke,/poets/rodney-koeneke
1561,Elizabeth%20Lincoln%20Otis,/poets/elizabeth-lincoln-otis
1562,Gerald%20Vizenor,/poets/gerald-vizenor
1563,George%20Arnold,/poets/george-arnold
1564,Elizabeth%20Bentley,/poets/elizabeth-bentley
1565,Pierre%20Reverdy,/poets/pierre-reverdy
1566,Scott%20Helmes,/poets/scott-helmes
1567,Coral%20Bracho,/poets/coral-bracho
1568,Anna%20Jackson,/poets/anna-jackson
1569,Lynne%20Sharon%20Schwartz,/poets/lynne-sharon-schwartz
1570,Catherine%20Sasanov,/poets/catherine-sasanov
1571,William%20Johnson,/poets/william-johnson
1572,Rick%20Campbell,/poets/rick-campbell
1573,Frances%20Leviston,/poets/frances-leviston
1574,Dan%20Taulapapa%20McMullin,/poets/dan-taulapapa-mcmullin
1575,Allen%20Grossman,/poets/allen-grossman
1576,Kate%20Camp,/poets/kate-camp
1577,Clark%20Moore,/poets/clark-moore
1578,Paul%20Verlaine,/poets/paul-verlaine
1579,Douglas%20Manuel,/poets/douglas-manuel
